animal,session,trial,reward_magnitude,ITI(ms),reward_outcome,observed_actTime,reward_prob_at_reposne,dot_speed(ms),1=responded,past_reward,past_actTime,deterministic_actTime,1=treatment group
1,2,2,2,5000,0,12,0.5,100,1,1,15,NaN,1
1,2,3,1,5000,1,14,0.7311,100,1,0,12,NaN,1
1,2,4,3,5000,0,11,0.3775,300,1,1,14,NaN,1
1,2,5,1,5000,1,10,0.2689,200,1,0,11,NaN,1
1,2,6,1,5000,0,10,0.2689,100,1,1,10,NaN,1
1,2,7,1,5000,0,11,0.3775,200,1,0,10,NaN,1
1,2,8,2,5000,2,12,0.5,100,1,0,11,NaN,1
1,2,9,1,5000,0,8,0.1192,300,1,2,12,NaN,1
1,2,10,3,5000,0,11,0.3775,100,1,0,8,NaN,1
1,2,11,2,5000,0,12,0.5,100,1,0,11,5,1
1,2,12,3,5000,3,10,0.2689,300,1,0,12,5,1
1,2,13,3,5000,0,14,0.7311,100,1,3,10,3,1
1,2,14,2,5000,0,13,0.6225,100,1,0,14,5,1
1,2,15,1,5000,0,16,0.8808,200,1,0,13,8,1
1,2,16,3,5000,3,10,0.2689,100,1,0,16,3,1
1,2,17,2,5000,2,10,0.2689,300,1,3,10,6,1
1,2,18,3,5000,0,11,0.3775,300,1,2,10,6,1
1,2,19,3,5000,3,13,0.6225,200,1,0,11,6,1
1,2,20,1,5000,0,11,0.3775,200,1,3,13,7,1
1,2,21,1,5000,0,15,0.8176,200,1,0,11,10,1
1,2,22,3,5000,3,13,0.6225,100,1,0,15,7,1
1,2,23,2,5000,2,10,0.2689,300,1,3,13,7,1
1,2,24,2,5000,0,10,0.2689,300,1,2,10,9,1
1,2,25,3,5000,0,9,0.1824,300,1,0,10,8,1
1,2,26,2,5000,0,15,0.8176,100,1,0,9,9,1
1,2,27,2,5000,2,10,0.2689,300,1,0,15,10,1
1,2,28,3,5000,0,11,0.3775,100,1,2,10,4,1
1,2,29,1,5000,0,13,0.6225,300,1,0,11,12,1
1,2,30,1,5000,1,11,0.3775,300,1,0,13,12,1
1,2,31,2,7000,0,12,0.5,200,1,1,11,7,1
1,2,32,1,7000,0,10,0.2689,200,1,0,12,9,1
1,2,33,1,7000,1,11,0.3775,100,1,0,10,11,1
1,2,34,3,7000,0,10,0.2689,200,1,1,11,5,1
1,2,35,3,7000,0,11,0.3775,300,1,0,10,7,1
1,2,36,3,7000,3,12,0.5,300,1,0,11,8,1
1,2,37,3,7000,0,9,0.1824,200,1,3,12,4,1
1,2,38,2,7000,0,11,0.3775,200,1,0,9,6,1
1,2,39,2,7000,0,9,0.1824,200,1,0,11,7,1
1,2,40,1,7000,1,11,0.3775,300,1,0,9,10,1
1,2,41,3,7000,0,12,0.5,200,1,1,11,6,1
1,2,42,1,7000,0,10,0.2689,300,1,0,12,11,1
1,2,43,3,7000,3,14,0.7311,100,1,0,10,5,1
1,2,44,3,7000,3,16,0.8808,100,1,3,14,3,1
1,2,45,1,7000,0,9,0.1824,300,1,3,16,8,1
1,2,46,2,7000,0,11,0.3775,200,1,0,9,8,1
1,2,47,2,7000,2,11,0.3775,200,1,0,11,7,1
1,2,48,3,7000,0,10,0.2689,200,1,2,11,5,1
1,2,49,2,7000,0,12,0.5,200,1,0,10,7,1
1,2,50,2,7000,0,10,0.2689,300,1,0,12,10,1
1,2,51,2,7000,0,11,0.3775,200,1,0,10,8,1
1,2,52,1,7000,1,15,0.8176,100,1,0,11,9,1
1,2,53,1,7000,1,17,0.9241,100,1,1,15,8,1
1,2,54,2,7000,2,14,0.7311,200,1,1,17,6,1
1,2,55,1,7000,0,10,0.2689,200,1,2,14,7,1
1,2,56,3,7000,0,14,0.7311,100,1,0,10,4,1
1,2,57,1,7000,0,13,0.6225,200,1,0,14,8,1
1,2,58,1,7000,1,15,0.8176,200,1,0,13,8,1
1,2,59,2,7000,2,13,0.6225,200,1,1,15,7,1
1,2,60,2,7000,0,12,0.5,200,1,2,13,6,1
1,2,61,1,3000,1,10,0.2689,300,1,0,12,9,1
1,2,62,1,3000,1,16,0.8808,200,1,1,10,8,1
1,2,63,2,3000,2,10,0.2689,300,1,1,16,9,1
1,2,64,2,3000,2,17,0.9241,100,1,2,10,8,1
1,2,65,3,3000,0,9,0.1824,300,1,2,17,6,1
1,2,66,2,3000,0,15,0.8176,100,1,0,9,8,1
1,2,67,2,3000,2,18,0.9526,200,1,0,15,8,1
1,2,68,2,3000,2,10,0.2689,200,1,2,18,7,1
1,2,69,1,3000,1,9,0.1824,200,1,2,10,9,1
1,2,70,3,3000,0,9,0.1824,200,1,1,9,5,1
1,2,71,3,3000,0,12,0.5,100,1,0,9,5,1
1,2,72,1,3000,0,12,0.5,200,1,0,12,8,1
1,2,73,3,3000,0,14,0.7311,200,1,0,12,6,1
1,2,74,3,3000,3,15,0.8176,100,1,0,14,5,1
1,2,75,1,3000,0,17,0.9241,100,1,3,15,5,1
1,2,76,1,3000,1,15,0.8176,200,1,0,17,7,1
1,2,77,1,3000,1,23,0.9959,100,1,1,15,8,1
1,2,78,2,3000,0,10,0.2689,300,1,1,23,7,1
1,2,79,1,3000,1,15,0.8176,200,1,0,10,9,1
1,2,80,2,3000,0,9,0.1824,100,1,1,15,6,1
1,2,81,1,3000,1,20,0.982,100,1,0,9,8,1
1,2,82,1,3000,0,11,0.3775,100,1,1,20,9,1
1,2,83,2,3000,0,12,0.5,300,1,0,11,7,1
1,2,84,2,3000,0,10,0.2689,300,1,0,12,9,1
1,2,85,2,3000,2,13,0.6225,100,1,0,10,7,1
1,2,86,2,3000,0,11,0.3775,300,1,2,13,6,1
1,2,87,3,3000,3,18,0.9526,100,1,0,11,4,1
1,2,88,2,3000,0,13,0.6225,200,1,3,18,6,1
1,2,89,1,3000,0,9,0.1824,200,1,0,13,8,1
1,2,90,1,3000,1,21,0.989,200,1,0,9,9,1
1,2,91,2,7000,2,15,0.8176,100,1,1,21,6,1
1,2,92,3,7000,3,14,0.7311,200,1,2,15,6,1
1,2,93,2,7000,0,12,0.5,300,1,3,14,7,1
1,2,94,1,7000,1,20,0.982,200,1,0,12,10,1
1,2,95,3,7000,0,11,0.3775,300,1,1,20,8,1
1,2,96,1,7000,1,14,0.7311,200,1,0,11,12,1
1,2,97,2,7000,2,16,0.8808,200,1,1,14,9,1
1,2,98,2,7000,2,15,0.8176,100,1,2,16,8,1
1,2,99,2,7000,2,18,0.9526,100,1,2,15,9,1
1,2,100,1,7000,1,16,0.8808,300,1,2,18,10,1
1,2,101,1,7000,0,10,0.2689,200,1,1,16,11,1
1,2,102,2,7000,2,11,0.3775,300,1,0,10,12,1
1,2,103,3,7000,3,11,0.3775,100,1,2,11,6,1
1,2,104,1,7000,1,18,0.9526,200,1,3,11,8,1
1,2,105,3,7000,0,10,0.2689,300,1,1,18,8,1
1,2,106,2,7000,2,11,0.3775,100,1,0,10,13,1
1,2,107,3,7000,3,11,0.3775,200,1,2,11,5,1
1,2,108,1,7000,0,11,0.3775,300,1,3,11,10,1
1,2,109,3,7000,3,10,0.2689,100,1,0,11,8,1
1,2,110,2,7000,0,12,0.5,300,1,3,10,9,1
1,2,111,1,7000,1,14,0.7311,200,1,0,12,10,1
1,2,112,1,7000,1,11,0.3775,200,1,1,14,11,1
1,2,113,3,7000,3,15,0.8176,200,1,1,11,6,1
1,2,114,1,7000,1,16,0.8808,200,1,3,15,10,1
1,2,115,2,7000,0,11,0.3775,300,1,1,16,8,1
1,2,116,3,7000,3,14,0.7311,200,1,0,11,9,1
1,2,117,3,7000,0,9,0.1824,200,1,3,14,6,1
1,2,118,3,7000,3,9,0.1824,300,1,0,9,7,1
1,2,119,3,7000,0,12,0.5,200,1,3,9,7,1
1,2,120,1,7000,1,13,0.6225,200,1,0,12,10,1
1,2,121,1,5000,1,9,0.1824,300,1,1,13,13,1
1,2,122,1,5000,1,13,0.6225,200,1,1,9,9,1
1,2,123,1,5000,1,20,0.982,100,1,1,13,12,1
1,2,124,2,5000,2,11,0.3775,200,1,1,20,8,1
1,2,125,3,5000,3,10,0.2689,100,1,2,11,4,1
1,2,126,3,5000,3,14,0.7311,200,1,3,10,4,1
1,2,127,2,5000,2,15,0.8176,100,1,3,14,5,1
1,2,128,3,5000,0,12,0.5,100,1,2,15,5,1
1,2,129,3,5000,3,18,0.9526,100,1,0,12,4,1
1,2,130,1,5000,1,18,0.9526,100,1,3,18,8,1
1,2,131,2,5000,0,10,0.2689,300,1,1,18,8,1
1,2,132,2,5000,0,15,0.8176,200,1,0,10,9,1
1,2,133,1,5000,1,29,1,100,1,0,15,11,1
1,2,134,2,5000,0,13,0.6225,100,1,1,29,7,1
1,2,135,3,5000,3,12,0.5,200,1,0,13,6,1
1,2,136,2,5000,0,9,0.1824,300,1,3,12,7,1
1,2,137,2,5000,2,15,0.8176,200,1,0,9,7,1
1,2,138,1,5000,1,16,0.8808,100,1,2,15,9,1
1,2,139,1,5000,1,15,0.8176,300,1,1,16,9,1
1,2,140,3,5000,3,13,0.6225,200,1,1,15,6,1
1,2,141,3,5000,0,12,0.5,300,1,3,13,7,1
1,2,142,1,5000,1,18,0.9526,200,1,0,12,11,1
1,2,143,3,5000,3,14,0.7311,200,1,1,18,8,1
1,2,144,3,5000,0,9,0.1824,300,1,3,14,7,1
1,2,145,2,5000,2,15,0.8176,200,1,0,9,11,1
1,2,146,1,5000,1,13,0.6225,100,1,2,15,12,1
1,2,147,2,5000,2,17,0.9241,100,1,1,13,8,1
1,2,148,1,5000,NaN,NaN,NaN,200,0,2,17,10,1
1,2,149,3,5000,3,29,1,100,1,NaN,NaN,8,1
1,2,150,3,5000,3,15,0.8176,300,1,3,29,9,1
1,2,151,2,3000,0,10,0.2689,200,1,3,15,7,1
1,2,152,1,3000,1,26,1,300,1,0,10,14,1
1,2,153,3,3000,0,9,0.1824,100,1,1,26,10,1
1,2,154,3,3000,3,20,0.982,200,1,0,9,11,1
1,2,155,1,3000,1,16,0.8808,100,1,3,20,10,1
1,2,156,1,3000,0,12,0.5,100,1,1,16,15,1
1,2,157,3,3000,0,11,0.3775,200,1,0,12,7,1
1,2,158,2,3000,2,14,0.7311,200,1,0,11,10,1
1,2,159,2,3000,2,13,0.6225,300,1,2,14,8,1
1,2,160,3,3000,3,13,0.6225,100,1,2,13,5,1
1,2,161,1,3000,0,10,0.2689,200,1,3,13,8,1
1,2,162,1,3000,1,11,0.3775,300,1,0,10,9,1
1,2,163,3,3000,3,12,0.5,200,1,1,11,7,1
1,2,164,3,3000,3,14,0.7311,300,1,3,12,7,1
1,2,165,2,3000,0,7,0.0759,300,1,3,14,9,1
1,2,166,3,3000,0,12,0.5,200,1,0,7,7,1
1,2,167,3,3000,0,13,0.6225,300,1,0,12,8,1
1,2,168,3,3000,3,19,0.9707,100,1,0,13,9,1
1,2,169,3,3000,3,10,0.2689,300,1,3,19,7,1
1,2,170,1,3000,1,21,0.989,100,1,3,10,10,1
1,2,171,1,3000,1,12,0.5,300,1,1,21,12,1
1,2,172,1,3000,1,14,0.7311,300,1,1,12,11,1
1,2,173,2,3000,0,11,0.3775,200,1,1,14,11,1
1,2,174,3,3000,3,14,0.7311,200,1,0,11,7,1
1,2,175,1,3000,1,18,0.9526,100,1,3,14,10,1
1,2,176,2,3000,2,13,0.6225,200,1,1,18,8,1
1,2,177,2,3000,0,8,0.1192,300,1,2,13,9,1
1,2,178,2,3000,2,18,0.9526,100,1,0,8,10,1
1,2,179,1,3000,1,14,0.7311,300,1,2,18,10,1
1,2,180,2,3000,2,12,0.5,300,1,1,14,10,1
