monkey,reward_magnitude,ITI(ms),reward_outcome,observed_actTime,reward_prob_at_response,dot_speed,1=responded,past_reward,past_actTime,1=poor_environment
2,2,7000,2,11,0.3775,200,1,NaN,NaN,1
2,2,7000,2,12,0.5,200,1,0,5,1
2,2,5000,0,7,0.0759,200,1,2,27,1
2,2,3000,NaN,NaN,NaN,200,0,NaN,NaN,1
2,2,3000,2,15,0.8176,200,1,NaN,NaN,1
2,2,3000,2,22,0.9933,200,1,NaN,NaN,1
2,2,3000,2,20,0.982,200,1,NaN,NaN,1
2,2,3000,2,13,0.6225,200,1,NaN,NaN,1
2,2,5000,0,7,0.0759,200,1,1,18,1
2,2,5000,2,12,0.5,200,1,3,9,1
2,2,5000,0,4,0.018,200,1,1,15,1
2,2,5000,0,5,0.0293,200,1,0,4,1
2,2,5000,2,18,0.9526,200,1,NaN,NaN,1
2,2,5000,0,15,0.8176,200,1,0,11,1
2,2,7000,2,14,0.7311,200,1,0,11,1
2,2,7000,NaN,NaN,NaN,200,0,0,10,1
2,2,7000,0,6,0.0474,200,1,3,20,1
2,2,7000,NaN,NaN,NaN,200,0,NaN,NaN,1
2,2,3000,2,22,0.9933,200,1,0,15,1
2,2,3000,2,11,0.3775,200,1,NaN,NaN,1
2,2,3000,2,23,0.9959,200,1,0,13,1
2,2,5000,NaN,NaN,NaN,200,0,1,18,1
2,2,3000,0,5,0.0293,200,1,0,6,1
2,2,3000,0,8,0.1192,200,1,0,5,1
2,2,3000,0,6,0.0474,200,1,0,10,1
2,2,3000,0,7,0.0759,200,1,0,4,1
2,2,3000,NaN,NaN,NaN,200,0,0,6,1
2,2,5000,0,7,0.0759,200,1,2,9,1
2,2,7000,0,5,0.0293,200,1,3,9,1
2,2,7000,0,7,0.0759,200,1,2,14,1
2,2,7000,0,11,0.3775,200,1,0,6,1
2,2,5000,0,4,0.018,200,1,1,13,1
2,2,5000,0,5,0.0293,200,1,0,8,1
2,2,5000,0,5,0.0293,200,1,0,11,1
2,2,7000,0,11,0.3775,200,1,0,7,1
2,2,3000,0,15,0.8176,200,1,0,3,1
2,2,3000,0,5,0.0293,200,1,0,13,1
2,2,3000,0,8,0.1192,200,1,0,5,1
2,2,5000,0,6,0.0474,200,1,3,19,1
2,2,5000,2,14,0.7311,200,1,0,22,1
2,2,3000,0,5,0.0293,200,1,0,7,1
2,2,3000,0,7,0.0759,200,1,2,14,1
2,2,3000,2,12,0.5,200,1,NaN,NaN,1
2,2,3000,0,6,0.0474,200,1,1,18,1
2,2,3000,0,6,0.0474,200,1,1,12,1
2,2,3000,0,4,0.018,200,1,1,17,1
2,2,7000,0,8,0.1192,200,1,NaN,NaN,1
